X,external_lfdn,tester,dispcode,lastpage,quality,duration,userID,gender,age,region,language,WFHmog,Wpct,Wcur,Wlead,FREELANCE,ORGtime,ORGsect,ORGsize,Whour,WFHopi,FLEXd,FLEXh,COMUd,COMUhin,COMUruc,COMU1,COMU2,COMU3,COMU4,COMU5,COMU6,COMU7,COMU8,WFHwish,WFHwish_m,WFHwish_tu,WFHwish_w,WFHwish_th,WFHwish_f,WFHwish_sa,WFHwish_su,WFHwish_non,crucial,WFHday_o,WFHday_r,AGday_r,WFHdec,WFHloc1,WFHloc2,WFHloc3,WFHloc4,WFHloc5,WFHnorm,JOD1,JOD3,JOD2,JODf,JODP1,JODP3,JODP2,JOP1,JOP2,JOP3,JOP4,JOPf,JSInp,JSInf,JSIf,SDTr1,SDTr2,SDTr3,SDTr4,SDTc1,SDTc2,QC1,SDTc3,SDTc4,SDTa1,SDTa2,SDTa3,SDTa4,AFn,AFp,EXH1,EXH2,EXH3,EXH4,WLB,SAT,COM,TRUSTs,TRUSTo,LONE,ABSENT,PRESENT,WFHadv1,WFHadv2,WFHadv3,WFHadv4,WFHadv5,WFHadv6,WFHadv7,WFHadv8,WFHadv9,WFHadv10,AGadv1,AGadv2,AGadv3,AGadv4,AGadv5,AGadv6,AGadv7,WFHauss,WFHerg1,WFHerg2,WFHerg3,AGerg1,AGerg2,AGerg3,AGdesk,WFHhealth1,WFHhealth2,WFHhealth3,WFHfuture1,WFHfuture2,WFHfuture3,WFHfuture4,WFHfuture5,WFHfuture6,WFHfuture7,WFHfuture8,WFHexp1,WFHexp2,WFHculture1,WFHculture2,WFHculture3,NATION,EDUCATION,BRUTTO,REGION,LIVING1,LIVING2,LIVING3,LIVING4,LIVING5,LIVING6,HOUSEH1,HOUSEH2,HOUSEH3,JO1,JO2,JO3,ext_host,ip_addr,browser,referer,device_type,participant_browser,participant_browser_version,participant_os,participant_device,participant_brand,participant_model,participant_isbot,participant_continent,participant_country,participant_region,participant_city,participant_latitude,participant_longitude,quota,quota_assignment,quota_rejected_id,page_history,hflip,vflip,output_mode,javascript,flash,session_id,language,cleaned,ats,datetime,date_of_last_access,date_of_first_mail,rts276638,rts276640,rts276644,rts276645,rts276663,rts276891,rts276892,rts276894,rts276896,rts276897,rts276898,rts276915,rts276916,rts276921,rts276922,rts276923,rts276940,rts276941,rts276943,rts276944,rts276946,rts276947,rts277030,rts277059,rts277060,rts277376,rts280445,rts280451,rts280452,rts280455,JOD1r,JOD2r,JOD3r,JODfr,JODP1r,JODP2r,JODP3r,JOP1r,JOP2r,JOP3r,JOP4r,JOPfr,JSInfr,JSInpr,JSIfr,JO1r,JO2r,JO3r,COMUdr,WFHwishr,WFHday_or,WFHday_rr
1,0,0,31,276584,NA,601,2___d5600342fd290704e3588221bdc1a2cb_TSGFOGGP,2,24,2,2,1,100,5,1,1,2,6,4,8,1,3,3,6,25,25,1,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1,5,4,6,5,7,7,7,7,6,7,7,7,5,5,2,4,4,4,4,4,4,4,4,4,5,1,5,1,2,1,2,4,4,4,4,4,2,0,5,1,1,0,1,1,0,1,1,0,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,0,0,0,0,0,0,NA,1,NA,NA,3,2,2,3,3,4,1,1,0,0,0,0,0,2,0,NA,6,6,6,NA,NA,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,3,"3,2,9,11,12",0,###############################################################################################################################################################################################################################################################,0,0,0,NA,NA,13d3ba1029eb54a1e5b0d740f0b454da,2,0,1712758409,4/10/2024 14:13,4/10/2024 14:23,0000-00-00 00:00:00,6,24,123,162,580,0,184,0,601,241,261,291,370,385,448,459,0,500,0,0,0,548,588,306,410,550,532,308,187,461,1,NA,NA,4,3,4,5,NA,NA,NA,NA,5,NA,NA,NA,5,5,5,5,2,NA,NA
2,0,0,31,276584,NA,1151,2___c9da5a0437bf2cacde27dc38305398a3_TSGFOGGP,1,52,2,2,2,100,5,1,1,36,8,7,42,4,4,5,5,45,60,0,1,0,0,0,1,0,0,5,0,0,1,0,1,0,0,0,4,2,3,9,1,1,0,0,NA,NA,4,2,4,6,3,5,6,3,5,5,4,4,4,6,5,5,5,5,4,5,4,5,4,5,4,4,4,4,3,2,4,2,3,2,3,4,4,4,5,4,4,0,4,1,1,1,1,1,1,0,1,0,NA,1,1,1,1,0,0,NA,4,3,3,5,4,4,3,1,4,4,5,0,1,0,0,0,0,NA,0,5,1,2,2,1,1,3,6,1,1,1,0,0,0,0,4,2,20,5,5,5,NA,NA,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/24.0 Chrome/117.0.0.0 Mobile Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,"1,5,9",0,"276638,276640,276642,276644,276645,276892,276893,276894,276940,283969,280452,276897,276898,276915,277059,280451,276916,276917,276921,277060,276922,276923,280455,276941,276942,276943,283970,276944,280446,280445,276945,276946,276947,277376,276663,277029,277030,276890,276891,276896,276584",1,1,0,NA,NA,db69cffd67237b53d64ef442d166081a,2,0,1712758552,4/10/2024 14:15,4/10/2024 14:35,0000-00-00 00:00:00,25,40,148,247,1092,1115,300,328,1151,454,501,547,676,697,783,803,369,861,893,922,989,1035,1105,587,737,1039,977,595,379,808,1,5,3,2,4,2,5,4,4,3,3,3,4,5,4,4,4,4,4,2,1,1
3,0,0,31,276584,NA,1041,2___6dc395e3aabaec1cdf0eef2d566d8cf3_TSGFOGGP,1,62,1,1,2,100,2,2,2,23,10,1,42,4,4,4,6,40,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,10,1,11,3,1,0,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,5,4,5,4,5,4,5,4,2,4,3,3,2,3,3,4,5,3,5,5,0,4,1,0,0,0,0,0,0,0,0,NA,1,0,1,1,1,1,alle Arbeitsmittel sind greifbar,1,3,3,4,5,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,7,4,4,0,0,0,0,0,1,NA,NA,NA,6,6,6,NA,NA,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,"1,6,8",0,###############################################################################################################################################################################################################################################################,0,1,0,NA,NA,88017869fc5bd269295abfa88c9f275e,1,0,1712758717,4/10/2024 14:18,4/10/2024 14:35,0000-00-00 00:00:00,15,25,112,155,1017,0,514,606,1041,0,0,0,704,715,791,801,635,892,915,933,945,964,0,0,744,967,0,640,0,805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,0,5,0
4,0,0,31,276584,NA,659,2___d845418074bc82fee75a4fbbd7603473_TSGFOGGP,1,41,1,1,2,100,5,1,1,5,10,1,45,2,5,5,6,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,4,1,11,3,1,0,0,NA,NA,4,1,7,5,1,7,7,5,5,7,5,6,6,7,7,6,5,5,4,5,4,4,4,4,4,4,4,4,4,1,4,2,2,1,2,5,5,5,5,5,4,0,1,0,0,0,0,0,0,0,0,1,keiner,1,0,0,1,1,1,Kreative Team-Entwicklungssessions funktionieren online nicht,1,3,4,4,5,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,1,1,5,6,2,1,1,0,0,0,0,3,1,10,6,6,6,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,"1,5,8",0,"276638,276640,276642,276644,276645,276892,276893,276894,276940,283969,280452,276897,276898,276915,277059,280451,276916,276917,276921,277060,276922,276923,280455,276941,276942,276943,283970,276944,280446,276945,276946,276947,277376,276663,277029,277030,276890,276891,276896,276584",1,1,0,NA,NA,97352a13ee17dadcc33a89aa9f173c35,1,0,1712759688,4/10/2024 14:34,4/10/2024 14:45,0000-00-00 00:00:00,16,25,83,114,633,644,132,153,659,238,267,298,378,389,434,446,183,523,542,558,571,586,640,318,405,589,0,320,190,449,NA,4,NA,NA,NA,4,NA,4,NA,4,5,5,NA,NA,5,5,5,5,5,0,2,0
5,0,0,31,276584,NA,738,2___c1a766c477fb1fa659f858437afa808e_TSGFOGGP,1,54,2,2,2,100,3,2,1,15,8,5,41,3,4,5,5,25,25,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,5,2,3,9,1,1,0,0,NA,NA,5,5,4,6,6,5,2,6,5,2,5,6,6,6,6,6,5,5,4,5,5,5,4,5,5,5,5,5,5,1,5,1,1,1,1,5,5,5,5,5,1,0,2,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,1,5,5,5,5,5,5,1,5,5,5,1,0,0,0,0,0,NA,0,6,2,2,1,1,1,3,NA,1,0,0,0,0,0,1,NA,NA,NA,6,6,6,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://rich-v02.bluewin.ch/,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,"1,5,9",0,"276638,276640,276642,276644,276645,276892,276893,276894,276940,283969,280452,276897,276898,276915,277059,280451,276916,276917,276921,277060,276922,276923,280455,276941,276942,276943,283970,276944,280446,280445,276945,276946,276947,277376,276663,277029,276890,276896,276584",0,1,0,NA,NA,f9ba3fdd5914c6f184a36fdd97a1cfbe,2,0,1712759666,4/10/2024 14:34,4/10/2024 14:46,0000-00-00 00:00:00,20,35,113,169,722,0,205,225,738,289,316,357,470,488,553,567,252,597,618,630,671,695,0,381,521,697,659,384,258,570,4,5,3,5,4,5,1,4,1,4,5,5,5,5,5,5,5,5,4,2,1,1
6,0,0,31,276584,NA,793,2___e36ea163ed539003445a1da45923e4fb_TSGFOGGP,1,51,1,1,2,40,2,2,2,0.33,9,1,16,5,5,5,1,0,0,1,0,0,0,0,0,0,0,11,1,1,1,0,0,0,0,0,4,10,11,1,4,1,0,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,4,4,4,4,4,5,5,5,5,2,4,2,2,2,2,4,5,4,4,4,2,0,4,0,1,0,0,1,0,0,1,0,NA,1,1,1,0,1,0,NA,2,3,4,4,NA,NA,NA,NA,4,4,4,0,0,0,0,0,0,NA,1,5,1,4,3,3,2,4,NA,5,1,0,0,0,0,0,2,0,NA,6,6,6,NA,NA,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/123.0.6312.52 Mobile/15E148 Safari/604.1",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,"1,5,8",0,"276638,276640,276642,276644,276645,276645,276645,276892,276893,276894,276940,283969,280451,276916,276917,276921,277060,276922,276922,276923,280455,276941,276942,276943,283970,280446,280445,276945,276946,276947,277376,276663,277029,277030,276890,276896,276584",0,0,0,NA,NA,6634975eb7eaf888d0af48ffd4e67d86,1,0,1712762024,4/10/2024 15:13,4/10/2024 15:26,0000-00-00 00:00:00,8,17,126,188,773,0,294,384,793,0,0,0,470,482,530,541,405,579,603,0,636,742,778,0,500,743,627,408,0,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,0,5,5,5
7,0,0,31,276584,NA,1413,2___a33377b26200d4e5c5ddf9229e7eda20_TSGFOGGP,1,61,1,1,2,30,5,1,1,17,2,7,12,5,5,5,1,25,25,1,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,5,10,5,1,3,1,0,0,NA,NA,5,2,6,6,6,2,6,6,6,6,6,2,6,6,6,6,5,5,4,5,4,5,4,4,4,5,5,5,4,1,4,1,3,1,1,5,5,5,5,5,2,1,1,1,1,1,0,1,0,1,1,0,NA,1,1,1,0,0,0,NA,1,5,5,5,NA,NA,NA,NA,3,3,4,0,0,0,0,0,0,NA,1,6,1,5,1,1,1,4,NA,4,1,0,0,0,0,0,2,0,NA,6,6,6,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,"1,6,8",0,"276638,276640,276642,276644,276645,276892,276893,276894,276940,283969,280452,276897,276898,276915,277059,280451,276916,276917,276921,277060,276922,276923,280455,276941,276942,276943,283970,280446,280445,276945,276946,276947,277376,276663,277029,277030,276890,276896,276584",0,1,0,NA,NA,ceed5af863af285a0440ef7e7c2db963,1,0,1712761467,4/10/2024 15:04,4/10/2024 15:28,0000-00-00 00:00:00,15,31,230,300,1375,0,340,374,1413,515,547,604,773,792,937,1069,415,1154,1180,0,1289,1309,1388,636,861,1313,1270,648,428,1075,1,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,0,2,5,2
8,0,0,31,276584,NA,805,2___167d1bc1396c0bb32299d22d07d98e5a_TSGFOGGP,1,57,2,2,1,100,5,1,1,26,2,5,40,1,4,4,6,25,25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,5,6,6,6,2,5,5,3,4,6,6,6,5,5,4,4,5,5,4,5,5,5,5,5,5,4,4,3,3,3,3,5,5,4,5,4,3,0,4,1,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,0,0,0,0,0,0,NA,1,NA,NA,4,2,4,1,3,5,1,1,0,0,0,0,0,2,0,NA,5,5,5,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,"1,6,9,11",0,###############################################################################################################################################################################################################################################################,1,0,0,NA,NA,743491c4ebe8a69d41258cfa58262f63,2,0,1712766177,4/10/2024 16:22,4/10/2024 16:36,0000-00-00 00:00:00,11,30,110,192,765,0,227,0,805,298,321,367,488,504,579,593,0,656,0,0,0,721,776,392,530,724,692,399,233,599,5,4,1,4,5,5,5,1,4,4,2,3,5,5,5,4,4,4,5,0,NA,NA
9,0,0,31,276584,NA,558,2___ba4d2d4be643e482d814b888f9d6e919_TSGFOGGP,2,37,1,1,2,100,3,2,1,5,NA,7,42,1,4,4,6,22,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,11,2,1,0,0,NA,NA,1,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,4,4,2,4,5,5,4,5,5,4,4,4,4,3,4,1,2,2,2,4,4,5,4,5,3,5,4,1,1,0,0,1,0,1,0,0,NA,1,1,1,1,1,0,NA,2,2,2,2,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,1,1,1,5,6,2,0,0,0,0,0,1,NA,NA,NA,6,6,6,NA,NA,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,3,"3,4,8",0,"276638,276640,276642,276644,276645,276892,276893,276894,276940,283969,280452,276897,276898,276915,277059,280451,276916,276917,276921,277060,276922,276923,280455,276941,276942,276943,283970,276944,280446,276945,276946,276947,277376,276663,277029,276890,276896,276584",0,0,0,NA,NA,71f924d983d79ed9e0190f14f7f9fd5f,1,0,1712767569,4/10/2024 16:46,4/10/2024 16:55,0000-00-00 00:00:00,5,16,87,115,543,0,135,151,558,206,227,252,324,335,378,389,179,422,470,487,496,516,0,265,355,518,0,268,183,391,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,0,1,0
10,0,0,32,276584,NA,-1,2___c79c55316c9c1435ed51f6fdc3db5374_TSGFOGGP,1,33,2,2,2,50,4,1,1,1.5,4,1,30,1,3,3,4,12,12,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,0,2,2,3,6,4,1,0,0,NA,NA,3,4,5,5,5,4,6,3,6,6,5,6,5,6,6,6,4,5,3,4,5,4,4,4,4,4,4,5,4,3,4,3,3,2,3,5,5,3,5,5,3,0,1,1,1,0,0,0,0,1,1,0,NA,1,1,1,0,0,0,NA,3,5,5,5,5,5,5,1,3,5,4,0,0,0,0,0,0,NA,1,6,1,3,1,1,1,4,3,2,0,0,0,1,0,0,4,0,NA,1,1,1,NA,NA,Mozilla/5.0 (Android 13; Mobile; rv:124.0) Gecko/124.0 Firefox/124.0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,"1,4,9",0,"276638,276640,276642,276644,276644,276644,276645,276892,276893,276894,276940,283969,280452,276897,276898,276915,277059,280451,276916,276917,276921,277060,276922,276923,280455,276941,276942,276943,283970,276944,280446,280445,276945,276946,276947,277376,276663,277029,277030,276890,276896,276584",1,1,0,NA,NA,a3026a73f12782c79e9f8148493f1f92,2,0,1712759811,4/10/2024 14:36,4/10/2024 18:31,0000-00-00 00:00:00,26,47,1220,1283,14044,0,1326,1366,14101,1477,1525,1595,1748,1781,1854,1874,1413,1925,1957,1986,13895,13951,14053,1621,1818,13958,13883,1630,1426,1882,3,4,4,4,3,2,5,5,5,4,5,4,5,5,5,NA,NA,NA,3,1.5,1,1
